,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
90,Qiana Joseph,6,69.0,West Indies,81,5,1,8,41,21,5,0,0.0,0.0,1.0,34.0,6,6,85.18518518518519,16.2,9.0,46.26865671641791,13.8,50.617283950617285,2021,2024,Joseph,Q Joseph
91,Rachel Slater,12,53.0,Scotland,95,10,0,2,48,36,3,1,0.0,0.0,0.0,15.0,12,12,55.78947368421052,9.5,47.5,51.13636363636363,5.3,50.526315789473685,2021/22,2024,Slater,R Slater
92,Richa Ghosh,44,915.0,India,692,36,31,105,260,228,39,1,0.0,1.0,13.0,64.0,44,44,132.22543352601156,19.22222222222222,5.088235294117647,58.52272727272727,25.416666666666668,37.57225433526011,2019/20,2024,Ghosh,R Ghosh
93,Radha Yadav,22,120.0,India,123,22,2,5,41,60,14,0,0.0,0.0,0.0,28.0,22,22,97.5609756097561,5.590909090909091,17.571428571428573,76.52173913043478,5.454545454545454,33.33333333333333,2018,2024,Yadav,R Yadav
94,Rabeya Khan,15,88.0,Bangladesh,133,9,0,5,70,42,10,2,0.0,0.0,0.0,14.0,15,15,66.16541353383458,14.777777777777779,26.6,54.83870967741935,9.777777777777779,52.63157894736842,2022/23,2024,Khan,R Khan
95,Ritu Moni,47,437.0,Bangladesh,623,40,0,35,292,225,36,0,0.0,0.0,4.0,39.0,47,47,70.14446227929373,15.575,17.8,53.70705244122965,10.925,46.869983948635635,2012/13,2024,Moni,R Moni
96,Sophie Ecclestone,33,300.0,England,252,24,12,22,84,106,17,0,0.0,0.0,2.0,34.0,33,33,119.04761904761905,10.5,7.411764705882353,67.6328502415459,12.5,33.33333333333333,2017/18,2024,Ecclestone,S Ecclestone
97,Sarah Glenn,18,133.0,England,114,6,0,16,34,44,11,1,0.0,0.0,0.0,26.0,18,18,116.66666666666667,19.0,7.125,76.66666666666667,22.166666666666668,29.82456140350877,2020,2024,Glenn,S Glenn
98,Saskia Horley,13,285.0,Scotland,275,12,3,34,111,99,13,2,0.0,2.0,2.0,61.0,13,13,103.63636363636364,22.916666666666668,7.4324324324324325,58.22222222222222,23.75,40.36363636363636,2022,2024,Horley,S Horley
99,Sinalo Jafta,16,131.0,South Africa,111,6,1,13,36,41,13,2,0.0,0.0,0.0,28.0,16,16,118.01801801801801,18.5,7.928571428571429,79.34782608695652,21.833333333333332,32.432432432432435,2019,2024,Jafta,S Jafta
