,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
0, Ayabonga Khaka,32,537,590,16,8,66,189,1.0,10.0,500,3,35.19553072625698,36.875,15.625,33.5625,6.592178770949721
1, Inoka Ranaweera,36,560,565,35,18,37,210,4.0,9.0,1069,3,37.5,16.142857142857142,29.694444444444443,16.0,6.053571428571429
2, Shashini Gimhani,3,21,26,1,0,4,9,0.0,1.0,29,1,42.857142857142854,26.0,9.666666666666666,21.0,7.428571428571429
3,A Aitken,2,14,16,0,0,1,3,0.0,0.0,2,0,21.428571428571427,,1.0,,6.857142857142857
4,A Brindle,8,97,78,3,0,4,37,0.0,2.0,101,1,38.144329896907216,26.0,12.625,32.333333333333336,4.824742268041237
5,A Das,5,80,74,5,0,6,35,0.0,0.0,137,2,43.75,14.8,27.4,16.0,5.55
6,A Sharma,3,67,70,4,0,7,25,0.0,0.0,114,2,37.3134328358209,17.5,38.0,16.75,6.268656716417911
7,AB Kaur,5,65,72,4,5,6,34,0.0,1.0,112,2,52.307692307692314,18.0,22.4,16.25,6.6461538461538465
8,AK Peters,3,32,36,1,2,2,14,0.0,0.0,27,1,43.75,36.0,9.0,32.0,6.75
9,AL Watkins,2,26,16,0,0,0,11,0.0,1.0,6,0,42.30769230769231,,3.0,,3.6923076923076925
10,AN Davidson-Richards,5,24,23,3,0,4,11,1.0,1.0,93,3,45.83333333333333,7.666666666666667,18.6,8.0,5.75
11,APC Kilowan,1,21,19,3,0,3,12,1.0,2.0,97,3,57.14285714285714,6.333333333333333,97.0,7.0,5.428571428571429
12,AS Taai,1,24,9,1,1,0,21,0.0,12.0,31,1,87.5,9.0,31.0,24.0,2.25
13,Aaliyah Alleyne,24,308,347,10,7,46,127,0.0,1.0,288,2,41.23376623376623,34.7,12.0,30.8,6.759740259740259
14,Abbi Aitken-Drummond,6,78,54,4,1,5,42,0.0,7.0,136,2,53.84615384615385,13.5,22.666666666666668,19.5,4.153846153846154
15,Abtaha Maqsood,30,446,401,24,3,31,183,1.0,7.0,754,3,41.03139013452915,16.708333333333332,25.133333333333333,18.583333333333332,5.394618834080718
16,Achini Kulasuriya,27,321,390,11,4,59,132,0.0,13.0,331,2,41.1214953271028,35.45454545454545,12.25925925925926,29.181818181818183,7.289719626168225
17,Afy Fletcher,48,776,794,31,13,67,285,2.0,8.0,959,4,36.72680412371135,25.612903225806452,19.979166666666668,25.032258064516128,6.139175257731959
18,Aiman Anwer,21,410,514,13,3,65,127,1.0,1.0,385,3,30.975609756097562,39.53846153846154,18.333333333333332,31.53846153846154,7.521951219512195
19,Alana King,17,257,223,15,4,19,112,3.0,7.0,523,4,43.57976653696498,14.866666666666667,30.764705882352942,17.133333333333333,5.206225680933852
20,Alex Hartley,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,,0.0,,6.0
21,Alice Capsey,6,24,29,1,0,4,7,0.0,1.0,31,1,29.166666666666668,29.0,5.166666666666667,24.0,7.25
22,Aliya Riaz,25,249,316,12,6,41,91,0.0,3.0,320,2,36.54618473895582,26.333333333333332,12.8,20.75,7.614457831325301
23,Ama Kanchana,21,190,213,3,3,25,67,0.0,2.0,101,1,35.26315789473684,71.0,4.809523809523809,63.333333333333336,6.726315789473684
24,Amanda-Jade Wellington,4,68,53,7,1,3,29,1.0,0.0,227,4,42.64705882352941,7.571428571428571,56.75,9.714285714285714,4.676470588235294
25,Amelia Kerr,49,865,878,35,10,80,314,3.0,12.0,1083,3,36.30057803468208,25.085714285714285,22.102040816326532,24.714285714285715,6.090173410404624
26,Amy Satterthwaite,11,151,185,4,2,19,37,0.0,0.0,110,1,24.503311258278146,46.25,10.0,37.75,7.3509933774834435
27,Anam Amin,35,645,640,27,13,63,270,2.0,12.0,833,4,41.86046511627907,23.703703703703702,23.8,23.88888888888889,5.953488372093023
28,Anisa Mohammed,36,738,685,33,10,48,296,2.0,24.0,1005,5,40.10840108401084,20.757575757575758,27.916666666666668,22.363636363636363,5.569105691056911
